Project name,Company,Date online,Normalised capacity (kt H2/y),grid_zone,solar_co2_reduction_pct,co2_h2_ratio_solar,co2_h2_ratio_grid
"Hydrogen City, phase 2",GHI,NA,2653.5,US-TEX-ERCO,88.34036797798662,2.5,21.4415
HIF USA,HIF Global,2026,900,US-TEX-ERCO,88.34036797798662,2.5,21.441499999999998
"Hydrogen City, phase 1",GHI,2026,346.50666666666666,US-TEX-ERCO,88.34036797798662,2.5,21.4415
Port of South Louisiana,AmmPower,NA,262.90512,US-MIDW-MISO,91.15904871364158,2.5000000000000004,28.277499999999996
Gron Fuel Renewable Energy Complex,Koch; Fidelis,2030,173.25333333333333,US-MIDW-MISO,91.15904871364158,2.5,28.2775
DG Fuels,DG Fuels,2025,142.1995565217391,US-MIDW-MISO,91.15904871364158,2.5,28.277499999999996
Mississippi Clean Hydrogen Hub,Hy Stor,2025,110,US-SE-SOCO,89.28556122230317,2.5,23.333000000000006
"New Fortress Energy green hydrogen US gulf, phase 1",New Fortress Energy,NA,65.83626666666666,US-MIDW-MISO,91.15904871364158,2.5,28.277499999999996
Woodside H2OK,Woodside,2025,50.24346666666666,US-CENT-SWPP,89.910404390992,2.5,24.778
Advanced Clean Energy Storage (ACES),Mitsubishi; Magnum,2025,37.28713043478261,US-NW-NEVP,90.16812506144922,2.5,25.427500000000002
Plug Power - Fort Worth,Plug Power,NA,21.9,US-TEX-ERCO,88.34036797798662,2.5,21.4415
"MMEX - Pecos, Texas",MMEX; Siemens,NA,18.25,US-TEX-ERCO,88.34036797798662,2.5,21.441499999999998
"New York Science, Technology and Advanced Manufacturing Park",Plug Power,2025,17.991692307692308,US-NY-NYIS,81.21007140172867,2.5000000000000004,13.305
"Plug Power - Fresno County, California",Plug Power,2024,17.991692307692304,US-CAL-CISO,77.77975291085238,2.5,11.251
"New Fortress Energy green hydrogen US gulf, phase 1",New Fortress Energy,2023,17.991692307692308,US-MIDW-MISO,91.15904871364158,2.5000000000000004,28.277499999999996
Ammonia Iowa project,Greenfield Nitrogen,NA,15.774309723889553,US-CENT-SWPP,89.910404390992,2.5,24.778
New Jersey Resources Howell,New Jersey Resources,2021,8.662666666666667,US-MIDA-PJM,88.68214948616958,2.4999999999999996,22.089
Plug Power-Brookfield Renewable Susquehanna River (Pen) project,Plug Power; Brookfield Renewable,2022,5.475,US-MIDA-PJM,88.68214948616958,2.5,22.088999999999995
"Camden County (GA), green power plant",Plug Power,2022,5.475,US-SE-SOCO,89.28556122230317,2.5,23.333000000000006
Plug Power Olin green hydrogen Joint Venture,Plug Power,NA,5.475,US-MIDW-MISO,91.15904871364158,2.5,28.277499999999996
